nature,increase,decrease
Bashful,N/A,N/A
Docile,N/A,N/A
Hardy,N/A,N/A
Quirky,N/A,N/A
Serious,N/A,N/A
Adamant,attack,sp_attack
Brave,attack,speed
Lonely,attack,defense
Naughty,attack,sp_defense
Bold,defense,attack
Impish,defense,sp_attack
Lax,defense,sp_defense
Relaxed,defense,speed
Modest,sp_attack,attack
Mild,sp_attack,defense
Quiet,sp_attack,speed
Rash,sp_attack,sp_defense
Calm,sp_defense,attack
Careful,sp_defense,sp_attack
Gentle,sp_defense,defense
Sassy,sp_defense,speed
Hasty,speed,defense
Jolly,speed,sp_attack
Naive,speed,sp_defense
Timid,speed,attack
